qdate,year,month,day,week,hour,min,id,owner,command,actual duration
1263821073,2010,1,18,2,13,24,149969,4,8,934
1263821914,2010,1,18,2,13,38,149970,4,8,24327
1263846751,2010,1,18,2,20,32,149971,4,9,3
1263848977,2010,1,18,2,21,9,149972,4,10,1223
1263850223,2010,1,18,2,21,30,149973,4,10,3
1263915682,2010,1,19,3,15,41,149975,4,11,3
1263919050,2010,1,19,3,16,37,149976,4,11,3
1263919345,2010,1,19,3,16,42,149977,4,11,3
1263920377,2010,1,19,3,16,59,149978,4,11,3
1263924242,2010,1,19,3,18,4,149979,4,11,3
1263924728,2010,1,19,3,18,12,149980,4,11,4
1263931520,2010,1,19,3,20,5,149981,4,11,494
1263932284,2010,1,19,3,20,18,149982,4,11,3
1264072945,2010,1,21,5,11,22,149986,4,11,287
1264073258,2010,1,21,5,11,27,149987,4,11,3
1264074453,2010,1,21,5,11,47,149988,4,11,4
1264071357,2010,1,21,5,10,55,149985,5,11,3258
1264075019,2010,1,21,5,11,56,149990,4,11,245
1264074603,2010,1,21,5,11,50,149989,4,11,1585
1264075726,2010,1,21,5,12,8,149991,4,11,476
1264076053,2010,1,21,5,12,14,149992,5,11,3
1264076346,2010,1,21,5,12,19,149993,4,11,219
1264076780,2010,1,21,5,12,26,149995,4,11,438
1264076709,2010,1,21,5,12,25,149994,5,11,786
1264077509,2010,1,21,5,12,38,149996,5,11,3
1264077699,2010,1,21,5,12,41,149997,5,11,624
1264078289,2010,1,21,5,12,51,149998,5,11,144
1264078593,2010,1,21,5,12,56,149999,5,11,659
1264079354,2010,1,21,5,13,9,150000,5,11,3
1264080184,2010,1,21,5,13,23,150001,5,11,4
1264080394,2010,1,21,5,13,26,150002,5,11,3
1264080646,2010,1,21,5,13,30,150003,5,11,498
1264081538,2010,1,21,5,13,45,150004,5,11,49
1264081918,2010,1,21,5,13,51,150005,5,11,52
1264083321,2010,1,21,5,14,15,150006,5,12,8
1264083886,2010,1,21,5,14,24,150007,5,12,7
1264083994,2010,1,21,5,14,26,150008,5,12,7
1264084571,2010,1,21,5,14,36,150009,5,12,7
